Name,Periodico 1,Periodico 2,Periodico 3,Periodico 4,Periodico 5,Periodico 6,Periodico 7,Periodico 8,Periodico 9,Periodico 10,Periodico 11,Periodico 12,Periodico 13,Periodico 14,Periodico 15
Ventas,"Q248,259.00","Q187,530.00","Q186,954.00","Q182,529.00","Q175,962.00","Q194,736.00","Q220,542.00","Q180,492.00","Q255,507.00","Q151,569.00","Q249,204.00","Q205,062.00","Q233,568.00","Q186,933.00","Q210,783.00"
Cantidad,"82,753.00","62,510.00","62,318.00","60,843.00","58,654.00","64,912.00","73,514.00","60,164.00","85,169.00","50,523.00","83,068.00","68,354.00","77,856.00","62,311.00","70,261.00"
Fecha,27/10/22,26/10/23,25/01/23,23/5/23,21/04/22,18/04/23,17/10/23,15/4/24,14/02/24,13/3/24,12/6/23,12/04/24,11/12/23,09/10/23,03/09/22
Texto_Relevancia,7,6,8,7,9,8,8,8,8,8,8,8,7,7,7
Texto_Impacto,7,8,8,8,9,7,9,9,7,7,7,8,8,7,6
Texto_Rigor_Etica_Profesional,6,7,7,7,8,8,8,8,7,8,7,7,7,6,7
Texto_Coyuntura,7,8,8,6,8,7,7,8,8,7,8,8,7,7,6
Texto_Penetracion,7,7,8,7,8,7,8,9,7,7,8,8,6,6,7
Fotografia_Impacto,8,7,7,7,9,8,8,8,8,7,7,8,7,8,7
Fotografia_Variedad_Fotos,6,6,8,8,8,7,7,7,7,6,6,7,6,6,7
Fotografia_Composicion,7,6,8,8,9,7,8,7,6,7,6,7,6,6,7
Fotografia_Comunica,8,6,7,8,8,8,7,7,6,6,7,8,7,7,7
Fotografia_Puesta_En_Pagina_Fotos,7,7,8,8,8,8,9,7,7,7,7,7,6,7,8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
